name,price,rating,ac_type,capacity,features
LG AS-Q19YNZE1 1.5 Ton 5 Star 2026 Inverter Split AC,"₹48,489",--rating: 4.25;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Blue Star IA318DXU 1.5 Ton 3 Star 2026 Inverter Split AC,"₹35,849",--rating: 4.5;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
MITSUBISHI DXK25CAPDA-W 2.15 Ton 2 Star 2026 Split AC,"₹77,009",--rating: 4.45;,Split AC,2.15 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
Blue Star IA518ZXUS 1.5 Ton 5 Star 2026 Inverter Split AC,"₹47,490",--rating: 4.05;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Voltas 185INV Vertis Ai Zest Gold 1.5 Ton 5 Star 2026 Inverter Split AC,"₹46,790",--rating: 4.55;,Split AC,1.5 Ton Capacity,"['Digital LED Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter']"
Haier HSA19KHD-GAI5NB-I 1.6 Ton 5 Star 2026 Inverter Split AC,"₹48,990",--rating: 4.1;,Split AC,1.6 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter']"
Daikin FTKP50XV16VKA 1.5 Ton 4 Star 2026 Inverter Split AC,"₹40,990",--rating: 4.55;,Split AC,1.5 Ton Capacity,"['Triple Display Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
Daikin FTKL50XV16VKA 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,990",--rating: 4.05;,Split AC,1.5 Ton Capacity,"['Triple Display Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
Hitachi RAS.V518PCDIBT1 1.5 Ton 5 Star 2026 Inverter Split AC,"₹44,891",--rating: 4.2;,Split AC,1.5 Ton Capacity,"['3 in 1 SmartView Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Samsung AR50F12D0LH 1 Ton 3 Star 2025 Inverter Split AC,"₹25,990",--rating: 4.6;,Split AC,1 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
