,price,rating,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display,log_price,capacity_sq,n_features_sq,rating_sq,capacity_n_features,capacity_rating,rating_n_features,smart_intensity,ac_premium_features,ref_door_complexity,wm_tech_level,features_above_avg,rating_above_avg,capacity_above_avg,brand_frequency,category_Refrigerator,category_WashingMachine,_category_backup
13,47989,4.7,12,panasonic,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77874793485229,2.25,144,22.090000000000003,18.0,7.050000000000001,56.400000000000006,6,0,0,0,1.0416253716551047,0.32324083250743385,0.054192269573835494,123,False,False,AC
14,37489,4.6,13,blue star,1.5,Ton,3.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531829509729958,2.25,169,21.159999999999997,19.5,6.8999999999999995,59.8,6,0,0,0,2.0416253716551047,0.22324083250743332,0.054192269573835494,165,False,False,AC
15,41490,4.75,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63323181522976,2.25,121,22.5625,16.5,7.125,52.25,0,0,0,0,0.041625371655104715,0.3732408325074337,0.054192269573835494,261,False,False,AC
16,36999,4.75,11,voltas,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51867319162636,2.25,121,22.5625,16.5,7.125,52.25,0,0,0,0,0.041625371655104715,0.3732408325074337,0.054192269573835494,218,False,False,AC
17,37990,4.3,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,121,18.49,16.5,6.449999999999999,47.3,0,0,0,0,0.041625371655104715,-0.0767591674925665,0.054192269573835494,66,False,False,AC
18,37990,4.75,10,panasonic,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,100,22.5625,15.0,7.125,47.5,0,0,0,0,-0.9583746283448953,0.3732408325074337,0.054192269573835494,123,False,False,AC
19,36490,4.35,13,samsung,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.504820933823419,2.25,169,18.922499999999996,19.5,6.5249999999999995,56.55,6,0,0,0,2.0416253716551047,-0.026759167492566682,0.054192269573835494,268,False,False,AC
20,48489,4.25,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.789112870099398,2.25,121,18.0625,16.5,6.375,46.75,0,0,0,0,0.041625371655104715,-0.12675916749256633,0.054192269573835494,261,False,False,AC
21,35849,4.5,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.487098846027767,2.25,144,20.25,18.0,6.75,54.0,0,0,0,0,1.0416253716551047,0.12324083250743367,0.054192269573835494,165,False,False,AC
22,77009,4.45,11,mitsubishi,2.15,Ton,2.0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.251690562533296,4.6225,121,19.802500000000002,23.65,9.5675,48.95,0,1,0,0,0.041625371655104715,0.07324083250743385,0.7041922695738354,12,False,False,AC
