brand,model_year,product,price,rating,ac_type,capacity,Dehumidification,Turbo Mode,Air Swing,Self Diagnosis,Memory Feature,LED Panel Display,Night Glow Buttons,Wi-Fi Connectivity,APP Control,Auto Clean,Hidden Panel Display,Voice Control,PM 2.5 Filter,inverter,star_rating
Carrier,2026,AC,58989,4.05,Split,2.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,5
Godrej,2026,AC,34490,4.05,Window,1.5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,5
Carrier,2026,AC,32999,4.4,Window,1.5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,3
Lloyd,2026,AC,38490,4.7,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,4
Carrier,2026,AC,35999,4.5,Window,1.5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,5
Lloyd,2025,AC,41850,4.55,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5
Lloyd,2025,AC,32499,4.5,Split,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Daikin,2026,AC,25490,4.4,Split,1.0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,2
Daikin,2026,AC,64900,4.7,Split,2.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Voltas,2026,AC,30990,4.15,Window,1.5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2
Godrej,2026,AC,38990,4.45,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5
Godrej,2026,AC,31650,4.7,Split,1.5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3
MarQ,2026,AC,22990,4.6,Split,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
MarQ,2026,AC,29990,4.7,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Hisense,2026,AC,32490,4.3,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,1,1,5
Hitachi,2026,AC,44950,4.65,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
Hitachi,2025,AC,31490,4.0,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Haier,2025,AC,42850,4.1,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
Godrej,2026,AC,50990,4.25,Split,2.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3
Voltas,2025,AC,32999,4.65,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Haier,2026,AC,50490,4.45,Split,1.6,1,1,1,1,0,0,0,1,1,0,0,1,0,1,5
Blue Star,2026,AC,48490,4.05,Split,2.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Hitachi,2026,AC,58500,4.15,Split,2.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
Haier,2026,AC,50990,4.6,Split,1.6,1,1,1,1,0,0,0,1,1,0,0,1,0,1,5
Lloyd,2026,AC,42990,4.25,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Hitachi,,AC,35998,4.15,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Voltas,2026,AC,37690,4.3,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3
LG,2025,AC,42990,4.65,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,5
Samsung,2026,AC,38650,4.0,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,4
Voltas,2025,AC,32990,4.65,Window,1.5,1,0,1,1,0,0,1,0,0,0,0,0,0,1,5
Daikin,2025,AC,34490,4.55,Split,1.5,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3
Godrej,2025,AC,33490,4.7,Split,1.5,1,0,1,1,1,0,1,0,0,0,0,0,0,1,5
Panasonic,2025,AC,30490,4.5,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Carrier,2026,AC,31499,4.35,Window,1.5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
MarQ,2026,AC,33990,4.15,Split,2.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Godrej,2023,AC,29860,4.6,Window,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
Voltas,2023,AC,25509,4.6,Window,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
Carrier,,AC,27990,4.7,Split,1.2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5
Realme,2026,AC,27990,4.55,Split,1.5,1,0,1,0,0,1,0,1,1,0,0,0,0,1,3
IFB,2026,AC,35990,4.35,Split,1.5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3
Daikin,2025,AC,34490,4.3,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,1,1,3
Blue Star,2026,AC,39990,4.65,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,0,1,1,3
Panasonic,2026,AC,45989,4.15,Split,1.5,1,0,1,1,0,0,0,0,0,0,1,0,0,1,5
Carrier,2026,AC,36990,4.0,Split,1.5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,3
Panasonic,2026,AC,40489,4.55,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Haier,2026,AC,39990,4.5,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,4
Haier,2026,AC,52990,4.35,Split,1.8,1,1,1,0,0,1,0,1,1,0,0,1,0,1,5
