brand,model_year,product,price,rating,ac_type,capacity,Dehumidification,Turbo Mode,Air Swing,Self Diagnosis,Memory Feature,LED Panel Display,Night Glow Buttons,Wi-Fi Connectivity,APP Control,Auto Clean,Hidden Panel Display,Voice Control,PM 2.5 Filter,inverter,star_rating
Voltas,2025,AC,33490,4.05,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Voltas,,AC,34700,4.75,Split,1.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
Godrej,2024,AC,44549,4.4,Split,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5
TCL,2025,AC,27990,4.2,Split,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,37990,4.35,Window,1.5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,5
Daikin,2024,AC,44765,4.65,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,1,1,5
Lloyd,,AC,36990,4.0,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5
LG,2025,AC,47990,4.3,Split,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Panasonic,2025,AC,37107,4.2,Split,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2025,AC,45800,4.1,Split,1.5,1,0,1,1,1,0,0,0,0,0,1,0,0,1,5
Blue Star,2025,AC,39990,4.0,Split,1.5,1,1,1,0,1,0,0,0,0,0,1,0,1,1,5
Sharp,2025,AC,28450,4.5,Split,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3
Sharp,2025,AC,36999,4.1,Split,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,5
O General,,AC,36590,4.5,Split,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Carrier,2025,AC,37500,4.5,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,0,0,1,3
Haier,2025,AC,42980,4.5,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Blue Star,2025,AC,45400,4.3,Split,1.5,1,1,1,0,1,0,1,0,0,0,0,0,1,1,5
Lloyd,2025,AC,64490,4.5,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,5
Daikin,2023,AC,34990,4.2,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,1,1,3
Blue Star,2025,AC,31290,4.5,Window,1.5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,32989,4.65,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
Blue Star,2025,AC,40990,4.65,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Lloyd,2025,AC,38490,4.7,Split,1.5,1,1,1,0,0,0,1,0,0,0,0,0,1,1,5
Daikin,2024,AC,42300,4.5,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Whirlpool,2025,AC,29290,4.2,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Godrej,2024,AC,35900,4.1,Split,1.5,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3
Carrier,,AC,41950,4.15,Split,1.5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,5
Daikin,2025,AC,53090,4.0,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Hitachi,2025,AC,35490,4.3,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Panasonic,2025,AC,38490,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Daikin,2024,AC,25290,4.75,Split,0.75,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3
Godrej,2024,AC,33870,4.5,Split,1.5,1,1,1,1,0,0,0,0,0,1,0,0,0,1,3
Godrej,2024,AC,31990,4.35,Split,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Godrej,2024,AC,30990,4.1,Split,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
Voltas,2024,AC,32990,4.35,Split,1.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,5
Onida,2024,AC,31490,4.3,Split,1.5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,5
Godrej,,AC,44490,4.65,Split,2.5,1,1,1,1,0,0,0,0,0,1,0,0,0,1,3
O General,2023,AC,51900,4.65,Window,1.8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5
MarQ,2024,AC,47999,4.7,Split,1.0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,3
O General,2023,AC,41590,4.25,Window,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Blue Star,2023,AC,28625,4.5,Split,1.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,4
Blue Star,2023,AC,53400,4.45,Split,2.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Voltas,,AC,41900,4.1,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5
Daikin,2022,AC,32883,4.0,Split,1.5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3
Daikin,,AC,35886,4.45,Split,1.5,0,1,1,0,0,1,1,0,0,0,0,0,0,1,4
Daikin,,AC,34548,4.15,Split,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Daikin,,AC,26251,4.35,Split,1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3
Daikin,,AC,35490,4.3,Split,1.5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3
O General,,AC,36582,4.65,Window,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Haier,2026,AC,44290,4.45,Split,1.8,1,1,1,1,0,0,0,1,1,0,0,1,0,1,3
Daikin,2026,AC,37890,4.75,Split,1.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Whirlpool,2026,AC,47190,4.7,Split,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Onida,2026,AC,27990,4.5,Split,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Onida,2026,AC,30990,4.4,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Onida,2026,AC,41990,4.35,Split,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Blue Star,2026,AC,36990,4.0,Window,1.5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,3
Hitachi,2026,AC,36990,4.3,Split,1.5,1,0,1,1,0,0,1,0,0,0,0,0,0,1,3
IFB,2026,AC,48490,4.25,Split,2.0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,3
Sharp,2026,AC,30490,4.15,Split,1.5,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Sharp,2026,AC,26990,4.5,Split,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Hitachi,,AC,33990,4.5,Window,1.5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3
Hitachi,,AC,41499,4.75,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Hitachi,,AC,30999,4.4,Split,1.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Daikin,2026,AC,40790,4.45,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,1,0,2
Blue Star,2026,AC,36490,4.45,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Daikin,,AC,25990,4.15,Split,0.75,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2
Daikin,2026,AC,52990,4.25,Split,1.8,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Panasonic,2026,AC,31999,4.35,Split,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3
LG,2026,AC,42990,4.25,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Godrej,2025,AC,29490,4.6,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Whirlpool,2026,AC,30949,4.65,Window,1.5,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3
Whirlpool,2026,AC,29890,4.5,Split,1.5,1,0,1,1,0,0,0,0,0,0,1,0,0,1,3
Whirlpool,2025,AC,33990,4.15,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
IFB,2026,AC,30989,4.35,Split,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3
Voltas,2026,AC,37490,4.05,Split,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,5
Carrier,,AC,35489,4.5,Window,1.5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3
Sharp,2026,AC,37990,4.7,Window,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Panasonic,2026,AC,33090,4.45,Window,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Sharp,2026,AC,30700,4.55,Window,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Voltas,2026,AC,27990,4.7,Window,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Voltas,2026,AC,32489,4.0,Window,1.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3
Voltas,,AC,29990,4.0,Window,1.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2
Lloyd,2026,AC,31990,4.7,Window,1.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3
Lloyd,2026,AC,30489,4.55,Split,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,3
Lloyd,2026,AC,46490,4.2,Split,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Lloyd,2026,AC,34490,4.25,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Samsung,2026,AC,40990,4.75,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
IFB,2025,AC,45800,4.3,Split,1.5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,5
Panasonic,2026,AC,38989,4.7,Split,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,4
Hitachi,,AC,36999,4.3,Split,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5
Voltas,2026,AC,33990,4.05,Split,1.0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,3
Samsung,2026,AC,46990,4.45,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Motorola,2026,AC,28990,4.5,Split,1.0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,3
Croma,2026,AC,33090,4.0,Split,1.5,1,1,1,1,0,0,0,0,0,0,1,0,0,1,3
Croma,2026,AC,29490,4.6,Split,1.0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,3
Croma,2026,AC,27990,4.65,Split,1.0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3
Croma,2026,AC,30490,4.0,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,3
Samsung,2026,AC,51990,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Samsung,2026,AC,50990,4.3,Split,2.0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Panasonic,2026,AC,42989,4.2,Split,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Panasonic,2026,AC,35989,4.3,Split,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Samsung,2026,AC,39990,4.45,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Blue Star,2026,AC,31490,4.45,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Blue Star,2026,AC,41990,4.45,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,0,1,3
Panasonic,2026,AC,69990,4.5,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Panasonic,2026,AC,46490,4.65,Split,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Samsung,2026,AC,32489,4.25,Split,1.0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Hisense,2025,AC,29990,4.75,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3
Hisense,2025,AC,34740,4.1,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5
Croma,2026,AC,44790,4.35,Split,2.0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,3
LG,,AC,41690,4.6,Split,1.5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3
Midea,2026,AC,33490,4.45,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,1,1,3
Carrier,2026,AC,32989,4.3,Split,1.0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,3
LG,2026,AC,34290,4.25,Split,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3
LG,2025,AC,43990,4.0,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,5
LG,2025,AC,37490,4.05,Split,1.0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3
Croma,2026,AC,34490,4.05,Window,1.5,1,1,0,1,1,0,0,0,0,0,0,0,0,1,5
Blue Star,2025,AC,47590,4.45,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,0,1,5
Whirlpool,2025,AC,34040,4.75,Split,1.5,1,0,1,1,0,0,0,0,0,0,1,0,0,1,5
Carrier,2026,AC,35490,4.0,Window,1.5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,40990,4.35,Split,2.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Daikin,2025,AC,34490,4.55,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,1,1,3
Blue Star,,AC,37300,4.75,Split,1.5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,59990,4.65,Split,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,33506,4.2,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Voltas,2023,AC,28690,4.7,Split,1.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,3
Daikin,,AC,34950,4.15,Split,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Lloyd,2025,AC,35950,4.5,Window,1.5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,5
Daikin,,AC,42282,4.55,Split,1.5,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Haier,2025,AC,43990,4.15,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
LG,2025,AC,41500,4.4,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Haier,,AC,45999,4.35,Split,1.6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5
Carrier,2025,AC,44000,4.55,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,1,1,5
Blue Star,2025,AC,70359,4.35,Split,2.0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,3
Voltas,2024,AC,35900,4.4,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
BPL,,AC,29549,4.25,Split,1.5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3
Blue Star,2025,AC,39590,4.2,Window,2.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3
Haier,,AC,35991,4.7,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Blue Star,2025,AC,46500,4.15,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Lloyd,2025,AC,30990,4.15,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3
Whirlpool,2025,AC,41850,4.4,Split,1.5,1,0,1,0,0,1,0,0,0,1,0,0,0,1,5
Haier,2025,AC,43000,4.0,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Haier,2025,AC,43990,4.6,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Voltas,2024,AC,44990,4.35,Split,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Carrier,2025,AC,33999,4.7,Window,1.5,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3
Panasonic,2025,AC,36990,4.3,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Panasonic,2025,AC,49990,4.0,Split,2.0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,3
Panasonic,2025,AC,56490,4.0,Split,2.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
Croma,2025,AC,30994,4.35,Window,1.5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,5
Panasonic,,AC,37500,4.75,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Blue Star,2025,AC,37500,4.75,Split,1.5,1,1,1,0,1,0,0,0,0,0,1,0,1,1,3
Sharp,2025,AC,27990,4.5,Split,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,5
Panasonic,2025,AC,37500,4.5,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Daikin,2023,AC,41400,4.4,Split,1.5,1,1,1,0,0,1,1,0,0,0,0,0,1,1,3
Sansui,2024,AC,26390,4.0,Split,1.5,1,1,1,1,1,0,0,0,0,0,1,0,1,1,3
Blue Star,2023,AC,60000,4.1,Split,1.5,1,1,1,0,0,1,1,0,0,0,0,0,0,1,5
Haier,2023,AC,37990,4.1,Split,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,5
Blue Star,2025,AC,44290,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,1,1,5
Panasonic,2025,AC,32990,4.7,Split,1.0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,3
Blue Star,2025,AC,40264,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3
Motorola,2025,AC,68199,4.35,Split,2.0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,3
IFB,,AC,44990,4.55,Split,2.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3
Lloyd,2024,AC,51190,4.1,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,5
Blue Star,2025,AC,29989,4.5,Split,1.0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,3
Blue Star,2025,AC,34990,4.2,Window,1.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5
Panasonic,2025,AC,56990,4.2,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Panasonic,2025,AC,65990,4.15,Split,2.0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,5
Hitachi,2025,AC,36990,4.1,Split,1.5,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3
Blue Star,2023,AC,37100,4.75,Split,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Sansui,2025,AC,32990,4.4,Split,1.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5
Blue Star,2024,AC,42590,4.3,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,1,1,5
Sansui,2025,AC,24990,4.75,Split,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3
Daikin,2023,AC,52459,4.65,Split,1.8,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Hitachi,2025,AC,48990,4.7,Split,2.0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,2
Acer,2025,AC,31999,4.45,Split,1.5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3
Whirlpool,,AC,29290,4.45,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Panasonic,2025,AC,44190,4.75,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
Haier,,AC,32500,4.05,Split,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Carrier,2025,AC,46490,4.6,Split,2.0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,3
Whirlpool,2025,AC,41850,4.65,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,5
Onida,2024,AC,24990,4.65,Split,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Whirlpool,2025,AC,28990,4.7,Split,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Daikin,2024,AC,79990,4.5,Split,2.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4
TCL,2025,AC,30990,4.05,Split,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
IFB,2025,AC,35800,4.15,Split,1.0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,5
MarQ,2025,AC,27490,4.25,Split,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,5
Hitachi,2025,AC,30991,4.7,Split,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,3
IFB,2025,AC,31990,4.0,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Godrej,2024,AC,37990,4.3,Split,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Godrej,2025,AC,27990,4.35,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Godrej,2025,AC,26490,4.1,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
LG,2024,AC,34490,4.3,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Carrier,2024,AC,48900,4.7,Split,2.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3
Carrier,2025,AC,34190,4.6,Split,1.5,1,1,1,0,0,0,1,0,0,0,1,0,0,1,3
Carrier,2025,AC,49990,4.4,Split,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5
Carrier,2024,AC,36000,4.1,Split,1.5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3
Carrier,2024,AC,29994,4.05,Split,1.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3
Haier,2025,AC,43590,4.55,Split,1.6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5
Haier,2025,AC,51253,4.1,Split,1.5,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3
Hitachi,2025,AC,32990,4.75,Split,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Panasonic,2025,AC,52900,4.45,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Hitachi,2025,AC,37299,4.05,Window,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Hitachi,2025,AC,35990,4.45,Split,1.5,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3
Hitachi,2024,AC,42490,4.6,Split,1.5,1,1,1,0,1,0,0,0,0,0,0,0,0,1,5
Panasonic,2025,AC,42990,4.55,Split,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2025,AC,37500,4.4,Split,1.5,1,0,1,1,0,0,0,1,0,0,0,0,0,1,3
LG,2025,AC,60055,4.3,Split,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
LG,2025,AC,36990,4.05,Split,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
LG,2025,AC,40976,4.1,Window,1.5,1,0,1,0,0,1,0,1,1,0,0,0,0,1,3
Panasonic,2025,AC,53900,4.5,Split,1.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3
Godrej,2025,AC,39999,4.25,Split,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2025,AC,45299,4.35,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Samsung,,AC,31990,4.45,Split,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Blue Star,2024,AC,85000,4.35,Split,2.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,2
Croma,2024,AC,33994,4.25,Split,1.6,1,1,1,1,0,0,0,0,0,0,1,0,0,1,4
Godrej,2024,AC,33990,4.1,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Samsung,2025,AC,81990,4.75,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Samsung,,AC,31990,4.25,Split,1.5,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3
Voltas,2024,AC,35850,4.4,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2024,AC,62241,4.0,Split,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
Lloyd,2024,AC,41990,4.7,Split,2.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
Blue Star,2023,AC,36699,4.1,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Godrej,2024,AC,28490,4.55,Split,1.5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,3
Daikin,2024,AC,36900,4.15,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Godrej,2024,AC,37700,4.15,Split,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Blue Star,2024,AC,45763,4.05,Split,1.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5
Voltas,2024,AC,38989,4.4,Split,1.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5
Haier,2024,AC,42950,4.1,Split,1.6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Godrej,2024,AC,28639,4.35,Window,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
Godrej,2024,AC,32549,4.1,Split,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Voltas,2024,AC,33990,4.15,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Carrier,2024,AC,38200,4.0,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Godrej,2024,AC,36799,4.55,Split,1.5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,5
Voltas,2024,AC,27990,4.35,Split,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Haier,2023,AC,42850,4.45,Split,1.6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Carrier,2024,AC,31766,4.35,Window,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Blue Star,2023,AC,45000,4.2,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Lloyd,2024,AC,34150,4.65,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Blue Star,2023,AC,37500,4.15,Split,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Blue Star,2023,AC,39990,4.7,Split,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Haier,2023,AC,47990,4.65,Split,1.5,1,1,1,1,0,0,0,0,0,1,0,0,0,1,4
Blue Star,2023,AC,37858,4.65,Split,1.5,1,1,1,0,1,0,0,0,0,0,0,0,0,1,3
Blue Star,2024,AC,39990,4.25,Window,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3
Lloyd,2023,AC,38490,4.4,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Whirlpool,2024,AC,29890,4.15,Split,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Lloyd,2024,AC,29448,4.45,Split,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Carrier,,AC,33999,4.45,Window,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Blue Star,2024,AC,42766,4.75,Window,1.5,1,1,1,0,1,0,1,0,0,0,0,0,0,1,5
Panasonic,2023,AC,38530,4.5,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2024,AC,49335,4.7,Split,1.5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3
Panasonic,2024,AC,47870,4.6,Split,1.5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,5
Haier,2024,AC,76500,4.15,Split,1.6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
